date,% Change
7/26/19,0.025826054
7/27/19,0.00115611
7/28/19,-0.02755238
7/29/19,0.000380056
7/30/19,0.000333361
7/31/19,-0.000183888
8/1/19,0.001251418
8/2/19,0.026028685
8/3/19,0.000743439
8/4/19,-0.026538673
8/5/19,-0.004434458
8/6/19,0.004667068
8/7/19,0.001445965
8/8/19,0.002204384
8/9/19,0.025909734
8/10/19,0.000920056
8/11/19,-0.026911135
8/12/19,-0.004944833
8/13/19,0.001123142
8/14/19,-0.002350439
8/15/19,-0.001050334
8/16/19,0.027097465
8/17/19,0.00090511
8/18/19,-0.02783111
8/19/19,-0.00121928
8/20/19,0.001007561
8/21/19,9.12358E-05
8/22/19,0.000135951
8/23/19,0.026868116
8/24/19,0.00092213
8/25/19,-0.026443704
8/26/19,-0.000734503
8/27/19,-6.56288E-06
8/28/19,0.000573272
8/29/19,0.000194807
8/30/19,0.026664006
8/31/19,0.000103353
9/1/19,-0.026124933
9/2/19,-0.002105544
9/3/19,-0.000644599
9/4/19,0.000896969
9/5/19,0.0035656
9/6/19,0.027634373
9/7/19,0.000254058
9/8/19,-0.025937212
9/9/19,-0.000301557
9/10/19,-0.000763281
9/11/19,0.00032578
9/12/19,0.000663131
9/13/19,0.027227342
9/14/19,0.002407418
9/15/19,-0.024726466
9/16/19,0.001448444
9/17/19,-0.000183436
9/18/19,-0.000282036
9/19/19,-9.07846E-05
9/20/19,0.021464666
9/21/19,-0.000562514
9/22/19,-0.02541403
9/23/19,-0.000838683
9/24/19,0.00010264
9/25/19,0.001069202
9/26/19,0.000857148
9/27/19,0.027940252
9/28/19,0.002155452
9/29/19,-0.023280539
9/30/19,-0.004612646
10/1/19,-0.001768061
10/2/19,0.000257
10/3/19,0.000879017
10/4/19,0.026964415
10/5/19,0.000186986
10/6/19,-0.025838713
10/7/19,-0.000774852
10/8/19,0.001397666
10/9/19,0.000522902
10/10/19,0.001082495
10/11/19,0.025915018
10/12/19,0.0009184
10/13/19,-0.025754659
10/14/19,2.33416E-05
10/15/19,0.000822412
10/16/19,0.000276408
10/17/19,0.002032713
10/18/19,0.023567113
10/19/19,0.000613141
10/20/19,-0.027339942
10/21/19,-0.000783438
10/22/19,0.00074027
10/23/19,0.000427715
10/24/19,0.000603896
10/25/19,0.025445777
10/26/19,0.000632006
10/27/19,-0.025549872
10/28/19,-0.00022639
10/29/19,-0.000174593
10/30/19,0.000124855
10/31/19,0.000383512
11/1/19,0.024512714
11/2/19,0.000827199
11/3/19,-0.024281272
11/4/19,-0.001383424
11/5/19,0.00010904
11/6/19,0.000959785
11/7/19,0.002374591
11/8/19,0.025283523
11/9/19,0.005130021
11/10/19,-0.02486348
11/11/19,-0.000611106
11/12/19,-0.000301313
11/13/19,0.000366255
11/14/19,0.000691975
11/15/19,0.026467628
11/16/19,0.001433918
11/17/19,-0.020376354
11/18/19,0.005854337
11/19/19,0.003135063
11/20/19,-0.004741309
11/21/19,0.00060185
11/22/19,0.020284081
11/23/19,-0.004569342
11/24/19,-0.025359745
11/25/19,-0.001001046
11/26/19,0.000158575
11/27/19,0.003309465
11/28/19,0.001526339
11/29/19,0.025606332
11/30/19,-0.000890387
12/1/19,-0.028577374
12/2/19,-0.001811325
12/3/19,-0.000332546
12/4/19,0.000519117
12/5/19,0.00041854
12/6/19,0.026526214
12/7/19,0.001144038
12/8/19,-0.024452679
12/9/19,-0.00078885
12/10/19,-0.000313287
12/11/19,-0.00017859
12/12/19,0.001074006
12/13/19,0.025180156
12/14/19,0.000672618
12/15/19,-0.025287841
12/16/19,-0.00601724
12/17/19,0.003429443
12/18/19,0.000576553
12/19/19,0.000154175
12/20/19,0.030781403
12/21/19,0.00139289
12/22/19,-0.024477597
12/23/19,0.002110021
12/24/19,0.001569852
12/25/19,0.001139947
12/26/19,-0.001533283
12/27/19,0.024727815
12/28/19,0.000316894
12/29/19,-0.024613281
12/30/19,0.000751212
12/31/19,0.002919273
1/1/20,-0.00749302
1/2/20,-0.017149438
1/3/20,0.02356249
1/4/20,0.00024148
1/5/20,-0.024674805
1/6/20,-0.004647949
1/7/20,3.38327E-05
1/8/20,0.000248381
1/9/20,-1.21725E-05
1/10/20,0.025693682
1/11/20,0.001237724
1/12/20,-0.02382777
1/13/20,0.000937394
1/14/20,-0.01905988
1/15/20,0.000171821
1/16/20,-0.001323347
1/17/20,0.009366229
1/18/20,0.001425323
1/19/20,-0.026918493
1/20/20,-0.002510225
1/21/20,0.001111891
1/22/20,0.001292264
1/23/20,0.00341861
1/24/20,0.029180959
1/25/20,0.001676385
1/26/20,-0.027854304
1/27/20,-0.00291923
1/28/20,0.000762677
1/29/20,0.000614189
1/30/20,0.000789187
1/31/20,0.027804974
2/1/20,0.008442057
2/2/20,-0.023995682
2/3/20,0.000403367
2/4/20,-0.00025726
2/5/20,0.000420629
2/6/20,0.00067025
2/7/20,0.026229379
2/8/20,0.000411962
2/9/20,-0.023783937
2/10/20,-0.001590621
2/11/20,0.00010374
2/12/20,0.000847125
2/13/20,0.001122786
2/14/20,0.026289061
2/15/20,0.000534769
2/16/20,-0.022360524
2/22/20,0.000134984
2/23/20,-0.02420294
2/24/20,0.001298424
2/25/20,0.001003281
2/26/20,0.000205466
2/27/20,-0.000989543
2/28/20,0.028765284
2/29/20,0.00142479
3/1/20,-0.018943036
3/2/20,-0.000248254
3/3/20,1.24158E-05
3/4/20,0.000347638
3/5/20,0.001650706
3/6/20,0.031221215
3/7/20,0.00111539
3/8/20,-0.028691859
3/9/20,-0.002614715
3/10/20,-4.95571E-06
3/11/20,0.000463361
3/12/20,0.002367743
3/13/20,0.032509211
3/14/20,0.001848
3/15/20,-0.030766449
3/16/20,-0.001993765
3/17/20,0.044675058
3/18/20,-0.088480526
3/19/20,0.002608736
3/20/20,0.040764874
3/21/20,0.000649709
3/22/20,-0.037732079
3/23/20,-0.002553105
3/24/20,0.001712381
3/25/20,0.000560477
3/26/20,0.001474247
3/27/20,0.040641002
3/28/20,0.000862433
3/29/20,-0.038099888
3/30/20,0.000702953
3/31/20,0.000641596
4/1/20,0.03257878
4/2/20,0.001536434
4/3/20,0.025837939
4/4/20,0.000836352
4/5/20,-0.023404833
4/6/20,-0.000303067
4/7/20,0.001872737
4/8/20,0.000124453
4/9/20,-0.000158597
4/10/20,0.027463584
4/11/20,-0.000482147
4/12/20,-0.02345493
4/13/20,-0.000817121
4/14/20,0.000467308
4/15/20,0.000111907
4/16/20,0.001089754
4/21/20,0.01522742
4/22/20,-0.055102572
4/23/20,-0.000153163
4/24/20,0.023531912
4/25/20,0.000147216
4/26/20,-0.021501315
4/27/20,-0.000409544
4/28/20,0.000241159
4/29/20,0.00040702
4/30/20,0.000331703
5/1/20,0.039264045
5/2/20,0.000843038
5/3/20,-0.019249131
5/4/20,0.001117372
5/5/20,-0.00046167
5/6/20,0.00037306
5/7/20,0.000542891
5/8/20,0.019188611
5/9/20,0.000858792
5/10/20,-0.018192779
5/11/20,0.001356983
5/12/20,0.000753419
5/13/20,0.002612246
5/14/20,0.002010775
5/15/20,0.022888553
5/16/20,0.003815329
5/18/20,-0.081631155
5/19/20,0.039364145
5/20/20,-0.001576815
5/21/20,0.000597504
5/22/20,0.022476761
5/23/20,0.00114781
5/24/20,-0.020860452
5/25/20,-0.002053063
5/26/20,-6.04338E-05
5/27/20,0.000483499
5/28/20,0.000614588
5/29/20,0.021675309
5/30/20,0.000560417
5/31/20,-0.021496637
6/1/20,0.026963023
6/2/20,0.001955219
6/3/20,-2.04081E-05
6/4/20,-0.000459192
6/5/20,0.020067322
6/6/20,0.000868471
6/7/20,-0.019335761
6/8/20,0.000260013
6/9/20,0.0004205
6/10/20,0.001592134
6/11/20,0.00031029
6/12/20,0.018443372
6/13/20,0.001154106
6/14/20,-0.018096687
6/15/20,0.000670457
6/16/20,0.000840048
6/17/20,-0.013831476
6/18/20,-0.001648117
6/19/20,0.023965137
6/20/20,0.001194971
6/21/20,-0.022319334
6/22/20,-8.6769E-05
6/23/20,0.000817803
6/24/20,0.001329487
6/25/20,0.000535287
6/26/20,0.023225322
6/27/20,0.000543703
6/28/20,-0.020895576
6/29/20,-0.000389829
6/30/20,-0.000533934
7/1/20,0.014530325
7/2/20,0.001678316
7/3/20,0.022284493
7/4/20,0.000784682
7/5/20,-0.019842082
7/6/20,-0.001526898
7/7/20,0.000162191
7/8/20,0.00105536
7/9/20,-0.000527124
7/10/20,0.022291341
7/11/20,0.000697534
7/12/20,-0.021833263
7/13/20,0.000128549
7/14/20,-0.00043958
7/15/20,0.001198446
7/16/20,0.000649879
